ts,tag,value,unit,quality,meta
2025-08-19T19:59:00.784710+00:00,qualidade/ph,7.218,pH,True,"{""sim"": true}"
2025-08-19T19:59:00.784710+00:00,bombeamento/vazao,174.153,m3/h,True,"{""sim"": true}"
2025-08-19T19:59:00.784710+00:00,pressao/linha1,3.209,bar,True,"{""sim"": true}"
2025-08-19T19:59:00.784710+00:00,decantacao/turbidez,0.267,NTU,True,"{""sim"": true}"
2025-08-19T19:59:00.784710+00:00,nivel/reservatorio,63.478,%,True,"{""sim"": true}"
2025-08-19T19:59:00.784710+00:00,qualidade/cloro,1.878,mg/L,True,"{""sim"": true}"
2025-08-19T20:14:00.784710+00:00,pressao/linha1,3.233,bar,True,"{""sim"": true}"
2025-08-19T20:14:00.784710+00:00,qualidade/ph,7.143,pH,True,"{""sim"": true}"
2025-08-19T20:14:00.784710+00:00,bombeamento/vazao,166.251,m3/h,True,"{""sim"": true}"
2025-08-19T20:14:00.784710+00:00,decantacao/turbidez,0.271,NTU,True,"{""sim"": true}"
2025-08-19T20:14:00.784710+00:00,nivel/reservatorio,66.027,%,True,"{""sim"": true}"
2025-08-19T20:14:00.784710+00:00,qualidade/cloro,1.773,mg/L,True,"{""sim"": true}"
2025-08-19T20:29:00.784710+00:00,bombeamento/vazao,156.621,m3/h,True,"{""sim"": true}"
2025-08-19T20:29:00.784710+00:00,decantacao/turbidez,0.249,NTU,True,"{""sim"": true}"
2025-08-19T20:29:00.784710+00:00,pressao/linha1,3.294,bar,True,"{""sim"": true}"
2025-08-19T20:29:00.784710+00:00,qualidade/cloro,1.663,mg/L,True,"{""sim"": true}"
2025-08-19T20:29:00.784710+00:00,nivel/reservatorio,62.826,%,True,"{""sim"": true}"
2025-08-19T20:29:00.784710+00:00,qualidade/ph,7.255,pH,True,"{""sim"": true}"
2025-08-19T20:44:00.784710+00:00,bombeamento/vazao,160.031,m3/h,True,"{""sim"": true}"
2025-08-19T20:44:00.784710+00:00,qualidade/cloro,1.864,mg/L,True,"{""sim"": true}"
2025-08-19T20:44:00.784710+00:00,pressao/linha1,3.246,bar,True,"{""sim"": true}"
2025-08-19T20:44:00.784710+00:00,nivel/reservatorio,67.972,%,True,"{""sim"": true}"
2025-08-19T20:44:00.784710+00:00,qualidade/ph,7.272,pH,True,"{""sim"": true}"
2025-08-19T20:44:00.784710+00:00,decantacao/turbidez,0.363,NTU,True,"{""sim"": true}"
2025-08-19T20:59:00.784710+00:00,nivel/reservatorio,64.991,%,True,"{""sim"": true}"
2025-08-19T20:59:00.784710+00:00,qualidade/cloro,1.868,mg/L,True,"{""sim"": true}"
2025-08-19T20:59:00.784710+00:00,qualidade/ph,7.104,pH,True,"{""sim"": true}"
2025-08-19T20:59:00.784710+00:00,bombeamento/vazao,178.765,m3/h,True,"{""sim"": true}"
2025-08-19T20:59:00.784710+00:00,decantacao/turbidez,0.322,NTU,True,"{""sim"": true}"
2025-08-19T20:59:00.784710+00:00,pressao/linha1,3.302,bar,True,"{""sim"": true}"
2025-08-19T21:14:00.784710+00:00,qualidade/ph,7.148,pH,True,"{""sim"": true}"
2025-08-19T21:14:00.784710+00:00,pressao/linha1,3.202,bar,True,"{""sim"": true}"
2025-08-19T21:14:00.784710+00:00,bombeamento/vazao,178.659,m3/h,True,"{""sim"": true}"
2025-08-19T21:14:00.784710+00:00,decantacao/turbidez,0.279,NTU,True,"{""sim"": true}"
2025-08-19T21:14:00.784710+00:00,nivel/reservatorio,67.715,%,True,"{""sim"": true}"
2025-08-19T21:14:00.784710+00:00,qualidade/cloro,1.945,mg/L,True,"{""sim"": true}"
2025-08-19T21:29:00.784710+00:00,qualidade/ph,7.238,pH,True,"{""sim"": true}"
2025-08-19T21:29:00.784710+00:00,nivel/reservatorio,67.446,%,True,"{""sim"": true}"
2025-08-19T21:29:00.784710+00:00,decantacao/turbidez,0.367,NTU,True,"{""sim"": true}"
2025-08-19T21:29:00.784710+00:00,bombeamento/vazao,171.709,m3/h,True,"{""sim"": true}"
2025-08-19T21:29:00.784710+00:00,pressao/linha1,3.501,bar,True,"{""sim"": true}"
2025-08-19T21:29:00.784710+00:00,qualidade/cloro,2.041,mg/L,True,"{""sim"": true}"
2025-08-19T21:44:00.784710+00:00,bombeamento/vazao,169.733,m3/h,True,"{""sim"": true}"
2025-08-19T21:44:00.784710+00:00,nivel/reservatorio,72.046,%,True,"{""sim"": true}"
2025-08-19T21:44:00.784710+00:00,pressao/linha1,3.289,bar,True,"{""sim"": true}"
2025-08-19T21:44:00.784710+00:00,decantacao/turbidez,0.303,NTU,True,"{""sim"": true}"
2025-08-19T21:44:00.784710+00:00,qualidade/ph,7.216,pH,True,"{""sim"": true}"
2025-08-19T21:44:00.784710+00:00,qualidade/cloro,1.882,mg/L,True,"{""sim"": true}"
2025-08-19T21:59:00.784710+00:00,decantacao/turbidez,0.265,NTU,True,"{""sim"": true}"
2025-08-19T21:59:00.784710+00:00,nivel/reservatorio,69.424,%,True,"{""sim"": true}"
2025-08-19T21:59:00.784710+00:00,pressao/linha1,3.343,bar,True,"{""sim"": true}"
2025-08-19T21:59:00.784710+00:00,qualidade/ph,7.239,pH,True,"{""sim"": true}"
2025-08-19T21:59:00.784710+00:00,bombeamento/vazao,184.004,m3/h,True,"{""sim"": true}"
2025-08-19T21:59:00.784710+00:00,qualidade/cloro,2.17,mg/L,True,"{""sim"": true}"
2025-08-19T22:14:00.784710+00:00,pressao/linha1,3.386,bar,True,"{""sim"": true}"
2025-08-19T22:14:00.784710+00:00,nivel/reservatorio,73.427,%,True,"{""sim"": true}"
2025-08-19T22:14:00.784710+00:00,qualidade/ph,7.193,pH,True,"{""sim"": true}"
2025-08-19T22:14:00.784710+00:00,qualidade/cloro,1.935,mg/L,True,"{""sim"": true}"
2025-08-19T22:14:00.784710+00:00,decantacao/turbidez,0.39,NTU,True,"{""sim"": true}"
2025-08-19T22:14:00.784710+00:00,bombeamento/vazao,168.726,m3/h,True,"{""sim"": true}"
2025-08-19T22:29:00.784710+00:00,pressao/linha1,3.321,bar,True,"{""sim"": true}"
2025-08-19T22:29:00.784710+00:00,nivel/reservatorio,71.093,%,True,"{""sim"": true}"
2025-08-19T22:29:00.784710+00:00,decantacao/turbidez,0.316,NTU,True,"{""sim"": true}"
2025-08-19T22:29:00.784710+00:00,bombeamento/vazao,181.404,m3/h,True,"{""sim"": true}"
2025-08-19T22:29:00.784710+00:00,qualidade/cloro,1.76,mg/L,True,"{""sim"": true}"
2025-08-19T22:29:00.784710+00:00,qualidade/ph,7.301,pH,True,"{""sim"": true}"
2025-08-19T22:44:00.784710+00:00,decantacao/turbidez,0.326,NTU,True,"{""sim"": true}"
2025-08-19T22:44:00.784710+00:00,qualidade/ph,7.299,pH,True,"{""sim"": true}"
