ts,bombeamento/vazao,decantacao/turbidez,nivel/reservatorio,pressao/linha1,qualidade/cloro,qualidade/ph
2025-08-19T19:59:00.784710+00:00,174.153,0.267,63.478,3.209,1.878,7.218
2025-08-19T20:14:00.784710+00:00,166.251,0.271,66.027,3.233,1.773,7.143
2025-08-19T20:29:00.784710+00:00,156.621,0.249,62.826,3.294,1.663,7.255
2025-08-19T20:44:00.784710+00:00,160.031,0.363,67.972,3.246,1.864,7.272
2025-08-19T20:59:00.784710+00:00,178.765,0.322,64.991,3.302,1.868,7.104
2025-08-19T21:14:00.784710+00:00,178.659,0.279,67.715,3.202,1.945,7.148
2025-08-19T21:29:00.784710+00:00,171.709,0.367,67.446,3.501,2.041,7.238
2025-08-19T21:44:00.784710+00:00,169.733,0.303,72.046,3.289,1.882,7.216
2025-08-19T21:59:00.784710+00:00,184.004,0.265,69.424,3.343,2.17,7.239
2025-08-19T22:14:00.784710+00:00,168.726,0.39,73.427,3.386,1.935,7.193
2025-08-19T22:29:00.784710+00:00,181.404,0.316,71.093,3.321,1.76,7.301
2025-08-19T22:44:00.784710+00:00,197.967,0.326,73.237,3.368,1.859,7.299
2025-08-19T22:59:00.784710+00:00,182.862,0.352,70.361,3.379,1.891,7.261
2025-08-19T23:14:00.784710+00:00,176.356,0.41,71.837,3.317,2.015,7.328
2025-08-19T23:29:00.784710+00:00,187.089,0.357,73.926,3.436,1.838,7.292
2025-08-19T23:44:00.784710+00:00,181.19,0.298,73.613,3.279,1.923,7.215
2025-08-19T23:59:00.784710+00:00,174.833,0.388,73.152,2.897,1.946,7.291
2025-08-20T00:14:00.784710+00:00,192.52,0.339,71.691,3.491,1.917,7.214
2025-08-20T00:29:00.784710+00:00,196.664,0.459,72.255,3.486,2.073,7.327
2025-08-20T00:44:00.784710+00:00,185.925,0.366,75.042,3.302,2.057,7.273
2025-08-20T00:59:00.784710+00:00,185.963,0.256,75.62,3.382,2.123,7.266
2025-08-20T01:14:00.784710+00:00,181.734,0.387,71.871,3.561,1.946,7.238
2025-08-20T01:29:00.784710+00:00,188.546,0.467,71.665,3.784,2.132,7.353
2025-08-20T01:44:00.784710+00:00,185.438,0.449,71.405,3.55,1.824,7.271
2025-08-20T01:59:00.784710+00:00,181.912,0.462,74.899,3.538,1.821,7.254
2025-08-20T02:14:00.784710+00:00,205.072,0.319,71.374,3.496,1.841,7.259
2025-08-20T02:29:00.784710+00:00,193.473,0.415,74.826,3.385,1.986,7.311
2025-08-20T02:44:00.784710+00:00,193.999,0.333,74.207,3.53,2.127,7.3
2025-08-20T02:59:00.784710+00:00,196.04,0.379,71.916,3.359,1.907,7.302
2025-08-20T03:14:00.784710+00:00,194.57,0.303,75.992,3.346,1.918,7.302
2025-08-20T03:29:00.784710+00:00,184.404,0.332,69.765,3.335,1.944,7.402
2025-08-20T03:44:00.784710+00:00,189.077,0.329,75.802,3.508,2.033,7.247
2025-08-20T03:59:00.784710+00:00,183.818,0.406,72.883,3.418,1.9,7.239
2025-08-20T04:14:00.784710+00:00,188.439,0.398,67.832,3.422,1.886,7.218
2025-08-20T04:29:00.784710+00:00,186.52,0.369,74.867,3.404,1.78,7.3
2025-08-20T04:44:00.784710+00:00,179.478,0.285,73.305,3.305,1.864,7.328
2025-08-20T04:59:00.784710+00:00,170.561,0.334,70.156,3.33,2.065,7.25
2025-08-20T05:14:00.784710+00:00,180.931,0.309,68.71,3.322,1.924,7.202
2025-08-20T05:29:00.784710+00:00,176.608,0.386,67.107,3.247,1.814,7.199
2025-08-20T05:44:00.784710+00:00,161.522,0.398,74.66,3.306,2.04,7.283
2025-08-20T05:59:00.784710+00:00,179.038,0.388,67.547,3.246,1.81,7.285
2025-08-20T06:14:00.784710+00:00,180.966,0.293,66.415,3.365,2.038,7.268
2025-08-20T06:29:00.784710+00:00,191.681,0.19,69.01,3.357,2.024,7.191
2025-08-20T06:44:00.784710+00:00,166.486,0.234,64.718,3.185,1.849,7.24
2025-08-20T06:59:00.784710+00:00,163.426,0.389,65.54,3.25,1.65,7.228
2025-08-20T07:14:00.784710+00:00,156.947,0.294,68.993,3.406,2.091,7.229
2025-08-20T07:29:00.784710+00:00,165.554,0.272,67.424,3.163,1.849,7.263
2025-08-20T07:44:00.784710+00:00,163.549,0.387,65.212,3.26,1.75,7.219
2025-08-20T07:59:00.784710+00:00,153.477,0.363,65.508,3.218,1.891,7.241
2025-08-20T08:14:00.784710+00:00,156.605,0.297,64.073,3.281,1.846,7.199
2025-08-20T08:29:00.784710+00:00,140.221,0.276,64.323,3.201,1.906,7.207
2025-08-20T08:44:00.784710+00:00,161.524,0.28,62.417,3.127,1.656,7.222
2025-08-20T08:59:00.784710+00:00,146.036,0.293,62.28,3.151,1.76,7.092
2025-08-20T09:14:00.784710+00:00,150.045,0.357,61.728,3.136,1.567,7.155
2025-08-20T09:29:00.784710+00:00,137.072,0.294,61.018,3.108,1.776,7.141
2025-08-20T09:44:00.784710+00:00,142.039,0.305,64.091,2.995,1.681,7.126
2025-08-20T09:59:00.784710+00:00,142.73,0.323,63.092,3.185,1.705,7.143
2025-08-20T10:14:00.784710+00:00,143.21,0.203,59.252,3.158,1.643,7.245
2025-08-20T10:29:00.784710+00:00,145.544,0.295,58.313,2.976,1.619,7.099
2025-08-20T10:44:00.784710+00:00,151.702,0.239,59.993,3.023,1.534,7.205
2025-08-20T10:59:00.784710+00:00,144.62,0.125,64.246,3.017,1.723,5.11
